Neighborhood,BldgType,OverallQual,LotArea,BedroomAbvGr,Bathrooms,GarageCars,SalePrice,Price_Per_Sq_Ft
CollgCr,1Fam,7,8450,3,2.5,2,208500,24.674556213017752
Other,1Fam,6,9600,3,2.0,2,181500,18.90625
CollgCr,1Fam,7,11250,3,2.5,2,223500,19.866666666666667
Other,1Fam,7,9550,3,1.0,3,140000,14.659685863874346
Other,1Fam,8,14260,4,2.5,3,250000,17.53155680224404
Other,1Fam,5,14115,1,1.5,2,143000,10.131066241586964
Somerst,1Fam,8,10084,3,2.0,2,307000,30.444268147560493
NWAmes,1Fam,7,10382,3,2.5,2,200000,19.264110961279137
OldTown,1Fam,7,6120,2,2.0,2,129900,21.225490196078432
Other,2fmCon,5,7420,2,1.0,1,118000,15.902964959568733
Sawyer,1Fam,5,11200,3,1.0,1,129500,11.5625
NridgHt,1Fam,9,11924,4,3.0,3,345000,28.933243877893325
Sawyer,1Fam,5,12968,2,1.0,1,144000,11.104256631708822
CollgCr,1Fam,7,10652,3,2.0,3,279500,26.239203905369884
NAmes,1Fam,6,10920,2,1.5,1,157000,14.377289377289378
Other,1Fam,7,6120,2,1.0,2,132000,21.568627450980394
NAmes,1Fam,6,11241,2,1.0,2,149000,13.255048483231029
Sawyer,Duplex,4,10791,2,2.0,2,90000,8.340283569641368
SawyerW,1Fam,5,13695,3,1.5,2,159000,11.610076670317634
NAmes,1Fam,5,7560,3,1.0,1,139000,18.386243386243386
NridgHt,1Fam,8,14215,4,3.5,3,325300,22.884277172001408
Other,1Fam,7,7449,3,1.0,1,139400,18.71392133172238
CollgCr,1Fam,8,9742,3,2.0,2,230000,23.609115171422705
Other,TwnhsE,5,4224,3,1.0,2,129900,30.75284090909091
Sawyer,1Fam,5,8246,3,1.0,1,154000,18.67572156196944
NridgHt,1Fam,8,14230,3,2.0,3,256300,18.011243851018975
NAmes,1Fam,5,7200,3,1.0,2,134800,18.72222222222222
NridgHt,1Fam,8,11478,3,2.0,3,306000,26.659696811291166
NAmes,1Fam,5,16321,2,1.0,1,207500,12.713681759696097
Other,1Fam,4,6324,1,1.0,1,68500,10.831752055660974
Other,1Fam,4,8500,3,1.0,1,40000,4.705882352941177
Sawyer,1Fam,5,8544,3,1.5,1,149350,17.480102996254683
CollgCr,1Fam,8,11049,3,2.0,2,179900,16.282016472078922
NAmes,1Fam,5,10552,4,1.5,2,165500,15.684230477634571
NridgHt,TwnhsE,9,7313,2,2.0,2,277500,37.94612334199371
NridgHt,1Fam,8,13418,4,3.5,3,309000,23.02876732747056
CollgCr,1Fam,5,10859,3,1.5,2,145000,13.352979095681002
NAmes,1Fam,5,8532,3,1.0,2,153000,17.932489451476794
NAmes,1Fam,5,7922,3,1.0,1,109000,13.759151729361273
Edwards,Duplex,4,6040,2,2.0,0,82000,13.57615894039735
NAmes,1Fam,6,8658,3,2.0,2,160000,18.48001848001848
Other,1Fam,5,16905,2,1.5,1,170000,10.056196391600118
SawyerW,1Fam,5,9180,2,1.0,2,144000,15.686274509803921
CollgCr,1Fam,5,9200,3,1.0,1,130250,14.157608695652174
NAmes,1Fam,5,7945,3,1.0,1,141000,17.74701069855255
NridgHt,TwnhsE,9,7658,2,2.0,2,319900,41.773308957952466
Other,1Fam,7,12822,1,1.5,2,239686,18.693339572609577
Somerst,1Fam,8,11096,3,2.0,3,249700,22.50360490266763
OldTown,2fmCon,4,4456,2,2.0,0,113000,25.359066427289047
Sawyer,1Fam,5,7742,3,1.0,1,127000,16.404029966416946
Gilbert,1Fam,6,13869,3,2.0,2,177000,12.762275578628596
Other,1Fam,6,6240,3,1.0,2,114500,18.349358974358974
Other,Duplex,5,8472,2,1.0,2,110000,12.983947119924457
NAmes,1Fam,5,7134,3,1.0,2,130000,18.22259601906364
NAmes,1Fam,6,10175,3,2.0,2,180500,17.73955773955774
CollgCr,1Fam,7,11645,3,2.5,2,196500,16.874194933447832
Other,1Fam,10,13682,3,3.5,3,438780,32.06987282561029
CollgCr,1Fam,5,7200,2,1.0,1,124900,17.34722222222222
SawyerW,1Fam,6,13072,3,1.5,2,158000,12.086903304773562
Other,1Fam,5,7200,3,1.0,1,101000,14.027777777777779
NridgHt,TwnhsE,8,6442,2,2.0,2,202500,31.434337162371936
OldTown,1Fam,7,10300,3,2.0,2,140000,13.592233009708737
CollgCr,1Fam,7,9375,3,2.5,2,219500,23.413333333333334
NridgHt,1Fam,8,9591,4,2.5,3,317000,33.05181941403399
NAmes,1Fam,7,19900,3,2.0,2,180000,9.045226130653266
CollgCr,1Fam,7,10665,3,2.0,2,226000,21.190811064228786
OldTown,1Fam,4,4608,2,1.0,1,80000,17.36111111111111
Other,1Fam,7,15593,3,2.0,2,225000,14.429551721926506
NAmes,1Fam,7,13651,3,2.0,2,244000,17.874148414035602
Other,1Fam,4,7599,2,1.0,2,129500,17.041716015265166
Gilbert,1Fam,7,10141,3,2.5,2,185000,18.242776846464846
NAmes,1Fam,5,10200,3,1.0,2,144900,14.205882352941176
OldTown,1Fam,3,5790,3,2.0,1,107400,18.54922279792746
Other,Twnhs,4,1596,2,1.0,1,91000,57.01754385964912
NAmes,1Fam,4,8475,2,1.0,1,135750,16.01769911504425
Other,1Fam,5,8635,2,1.0,1,127000,14.70758540822235
Sawyer,Duplex,4,10778,4,2.0,0,136500,12.664687326034516
OldTown,1Fam,5,10440,2,1.5,2,110000,10.53639846743295
NAmes,1Fam,6,13000,4,2.5,1,193500,14.884615384615385
Other,TwnhsE,6,4500,2,2.0,2,153500,34.111111111111114
Somerst,1Fam,8,10206,3,2.0,3,245000,24.005486968449933
NAmes,1Fam,5,8892,3,1.5,2,126500,14.226270805218174
Gilbert,1Fam,7,8530,3,2.5,2,168500,19.753810082063307
Other,1Fam,8,16059,4,2.5,2,260000,16.19029827511053
Gilbert,1Fam,6,11911,3,2.5,2,174000,14.608345227101
Somerst,TwnhsE,6,3951,2,2.5,2,164500,41.6350291065553
Other,1Fam,3,8470,2,1.0,0,85000,10.035419126328216
CollgCr,1Fam,4,8070,3,1.0,0,123600,15.315985130111525
NAmes,1Fam,4,7200,2,1.0,2,109900,15.26388888888889
NAmes,1Fam,5,8500,2,1.0,2,98600,11.6
Other,1Fam,5,13360,2,1.0,2,163500,12.238023952095809
OldTown,2fmCon,6,7200,4,2.0,2,133900,18.59722222222222
CollgCr,1Fam,6,9337,3,2.5,2,204750,21.92888508086109
Gilbert,1Fam,6,9765,3,2.5,2,185000,18.94521249359959
CollgCr,1Fam,7,10264,3,2.0,2,214000,20.849571317225255
Edwards,1Fam,4,10921,3,1.0,1,94750,8.675945426243018
Edwards,1Fam,5,10625,2,1.0,1,83000,7.811764705882353
NAmes,1Fam,4,9320,3,1.5,0,128950,13.835836909871245
NWAmes,1Fam,6,10603,3,2.0,2,205000,19.334150712062623
SawyerW,1Fam,6,9206,3,2.5,2,178000,19.335216163371715
SawyerW,Duplex,5,7018,4,2.0,2,118964,16.951268167569108
CollgCr,1Fam,7,10402,3,2.0,3,198900,19.12132282253413
Other,1Fam,7,7758,4,1.5,1,169500,21.848414539829854
Somerst,1Fam,8,9375,3,2.5,2,250000,26.666666666666668
OldTown,1Fam,4,10800,2,1.0,1,100000,9.25925925925926
OldTown,1Fam,5,6000,2,1.0,1,115000,19.166666666666668
Other,1Fam,5,8500,3,2.0,0,115000,13.529411764705882
NWAmes,1Fam,6,11751,3,2.0,2,190000,16.168836694749384
Edwards,1Fam,6,9525,4,2.0,1,136900,14.372703412073491
Gilbert,1Fam,7,7750,3,2.5,2,180000,23.225806451612904
CollgCr,1Fam,7,9965,4,2.5,3,383970,38.53186151530356
Other,1Fam,6,21000,3,2.0,2,217000,10.333333333333334
Somerst,TwnhsE,6,3230,2,2.5,2,176000,54.4891640866873
Sawyer,1Fam,5,11616,3,1.0,1,139000,11.96625344352617
Edwards,1Fam,5,8536,2,1.5,2,155000,18.15838800374883
SawyerW,1Fam,7,12376,5,3.0,3,320000,25.85649644473174
CollgCr,1Fam,6,8461,3,2.5,2,163990,19.381869755348067
Other,1Fam,6,21453,1,1.0,2,180000,8.3904349042092
Other,1Fam,4,6060,3,1.0,1,100000,16.501650165016503
NAmes,1Fam,6,9464,3,1.0,1,136000,14.370245139475909
SawyerW,TwnhsE,6,7892,2,2.0,2,153900,19.500760263558032
NWAmes,1Fam,6,17043,3,2.0,2,181000,10.62019597488705
Other,2fmCon,6,6780,2,1.0,0,84500,12.463126843657816
Other,TwnhsE,6,4928,2,2.0,2,128000,25.974025974025974
OldTown,1Fam,5,4388,3,1.0,0,87000,19.826800364630813
NAmes,1Fam,6,7590,3,1.5,2,155000,20.421607378129117
NAmes,1Fam,5,8973,3,1.5,2,150000,16.716817118020728
NAmes,1Fam,7,14200,4,2.5,2,226000,15.915492957746478
Gilbert,1Fam,6,12224,3,2.5,2,244000,19.960732984293195
NAmes,1Fam,5,7388,3,1.0,2,150750,20.404710341093665
Other,1Fam,8,6853,2,2.0,2,220000,32.102728731942214
Sawyer,1Fam,5,10335,3,2.5,2,180000,17.41654571843251
NWAmes,1Fam,7,10400,3,2.0,2,174000,16.73076923076923
NAmes,1Fam,5,10355,3,2.0,1,143000,13.80975374215355
Other,Duplex,7,11070,5,3.0,3,171000,15.447154471544716
CollgCr,1Fam,8,9066,3,2.5,3,230000,25.369512464151775
CollgCr,1Fam,6,15426,3,2.5,2,231500,15.007130818099313
NAmes,1Fam,4,10500,3,1.0,0,115000,10.952380952380953
CollgCr,1Fam,7,11645,3,2.0,2,260000,22.327179046801202
NAmes,1Fam,5,8520,4,2.0,2,166000,19.483568075117372
CollgCr,1Fam,7,10335,3,2.0,2,204000,19.738751814223512
Sawyer,Duplex,5,9100,6,2.0,2,125000,13.736263736263735
Other,1Fam,5,6120,2,1.0,1,105000,17.15686274509804
Gilbert,1Fam,7,9505,3,2.5,2,222500,23.40873224618622
SawyerW,1Fam,7,7500,3,1.0,0,141000,18.8
Other,1Fam,5,6240,3,1.0,1,115000,18.42948717948718
CollgCr,1Fam,5,10356,3,1.5,2,122000,11.780610274237157
NridgHt,1Fam,8,13891,2,2.0,3,372402,26.80886905190411
NWAmes,1Fam,6,14803,4,2.5,2,190000,12.83523610079038
Other,1Fam,6,13500,1,1.0,2,235000,17.40740740740741
OldTown,1Fam,6,11340,4,1.0,1,125000,11.022927689594356
Edwards,1Fam,6,9600,2,1.0,0,79000,8.229166666666666
NAmes,1Fam,5,7200,2,1.0,2,109500,15.208333333333334
Other,1Fam,8,12003,4,2.5,3,269500,22.452720153295008
Somerst,1Fam,7,12552,3,2.5,2,254900,20.307520713830467
Gilbert,1Fam,7,19378,4,2.5,2,320000,16.513572092063164
Other,1Fam,6,11120,3,2.0,2,162500,14.613309352517986
NridgHt,1Fam,9,13688,3,2.5,3,412500,30.135885447106954
NridgHt,1Fam,7,12182,3,2.0,2,220000,18.059431948776883
OldTown,1Fam,4,5500,1,1.0,0,103200,18.763636363636362
Edwards,2fmCon,5,10106,4,2.0,0,127500,12.616267563823472
Other,1Fam,5,10708,2,1.0,1,190000,17.743742995890923
NridgHt,1Fam,8,10562,3,1.5,3,325624,30.82976708956637
Gilbert,1Fam,7,8244,3,2.5,2,183500,22.25861232411451
Other,1Fam,8,16669,2,2.5,2,228000,13.678085068090468
OldTown,1Fam,5,12358,2,1.5,2,128500,10.398122673571775
Other,TwnhsE,7,5306,2,2.0,2,239000,45.0433471541651
NAmes,1Fam,6,10197,3,1.5,2,163000,15.985093654996568
Other,1Fam,6,12416,3,2.0,2,184000,14.81958762886598
Edwards,1Fam,6,12615,4,2.0,2,243000,19.2627824019025
Other,1Fam,6,10029,4,2.5,2,211000,21.038986937880146
Sawyer,1Fam,5,13650,4,2.0,2,172500,12.637362637362637
Other,1Fam,9,17423,1,2.0,3,501837,28.80313378867015
OldTown,1Fam,5,8520,2,1.0,2,100000,11.737089201877934
Other,1Fam,7,7588,4,1.5,1,200100,26.37058513442277
Edwards,1Fam,5,9060,3,1.0,1,120000,13.245033112582782
OldTown,1Fam,7,11426,3,2.5,2,200000,17.50393838613688
Other,1Fam,5,7438,3,1.0,2,127000,17.07448238773864
OldTown,1Fam,10,22950,4,2.5,3,475000,20.697167755991284
Other,1Fam,7,9947,3,2.0,2,173000,17.392178546295366
OldTown,1Fam,5,10410,3,2.5,1,135000,12.968299711815561
SawyerW,Duplex,5,7018,2,1.0,2,153337,21.849102308349956
Other,1Fam,8,10570,3,2.5,2,315000,29.801324503311257
CollgCr,1Fam,7,9017,3,2.0,2,192000,21.293113008761228
CollgCr,1Fam,5,7180,3,1.0,1,127000,17.688022284122564
Somerst,1Fam,7,9416,3,2.0,3,311872,33.12149532710281
NAmes,1Fam,8,25419,4,2.0,2,235000,9.245052913175185
OldTown,1Fam,6,5520,5,1.0,0,104000,18.840579710144926
NridgHt,1Fam,8,9591,3,2.0,3,274900,28.662287561255344
Edwards,1Fam,4,8546,2,2.0,2,140000,16.381933068102036
Other,1Fam,6,10125,3,2.0,2,171500,16.938271604938272
OldTown,1Fam,6,7000,2,2.0,1,112000,16.0
CollgCr,TwnhsE,6,4438,1,1.0,2,149000,33.57368183866607
Gilbert,1Fam,7,11851,3,2.0,2,180500,15.23078221247152
Sawyer,1Fam,5,13673,3,1.5,1,143900,10.52439113581511
NAmes,1Fam,4,12493,3,1.0,1,141000,11.286320339390059
SawyerW,1Fam,7,14364,3,2.5,2,277000,19.284321915900865
NAmes,1Fam,6,8250,3,1.0,2,145000,17.575757575757574
Edwards,1Fam,5,5604,2,1.0,0,98000,17.48750892219843
Edwards,1Fam,6,10420,3,2.0,2,186000,17.850287907869482
Somerst,1Fam,7,8640,3,2.5,2,252678,29.24513888888889
CollgCr,1Fam,5,13568,3,1.0,2,156000,11.497641509433961
CollgCr,1Fam,6,10900,3,1.5,1,161750,14.839449541284404
NAmes,1Fam,5,10011,2,1.0,1,134450,13.430226750574368
CollgCr,1Fam,7,8450,3,2.0,2,210000,24.85207100591716
OldTown,1Fam,4,9906,3,1.0,1,107000,10.801534423581668
Other,1Fam,7,15660,3,1.5,2,311500,19.891443167305237
Other,TwnhsE,7,3010,2,2.0,2,167240,55.561461794019934
CollgCr,1Fam,7,8990,2,2.0,2,204900,22.79199110122358
Gilbert,1Fam,6,8068,4,2.5,2,200000,24.789291026276647
NWAmes,1Fam,6,11475,3,2.5,2,179900,15.677559912854031
NAmes,1Fam,4,10500,2,1.0,2,97000,9.238095238095237
NridgHt,1Fam,10,13472,3,2.0,3,386250,28.670576009501186
Other,1Fam,7,9950,4,2.5,3,290000,29.14572864321608
Other,Twnhs,6,1869,2,1.5,1,106000,56.71482075976458
Sawyer,1Fam,5,8521,3,1.0,1,125000,14.669639713648634
Other,TwnhsE,7,3182,2,2.0,2,192500,60.49654305468259
NAmes,1Fam,6,8760,3,1.0,1,148000,16.894977168949772
Other,1Fam,8,15138,4,2.5,3,403000,26.621746597965384
Other,Twnhs,6,1680,2,1.5,1,94500,56.25
CollgCr,1Fam,5,10650,3,1.0,1,128200,12.03755868544601
Gilbert,1Fam,6,7851,4,2.5,2,216500,27.57610495478283
Other,TwnhsE,6,1680,2,1.5,1,89500,53.273809523809526
CollgCr,1Fam,7,8773,3,2.0,2,185500,21.14442038071355
SawyerW,1Fam,7,9453,3,2.5,2,194500,20.575478684015657
NridgHt,1Fam,8,12030,3,2.0,3,318000,26.433915211970074
Edwards,1Fam,6,8741,3,1.5,1,113000,12.927582656446631
Somerst,1Fam,8,9000,3,2.0,2,262500,29.166666666666668
OldTown,1Fam,5,5000,3,1.0,1,79000,15.8
SawyerW,TwnhsE,6,10762,3,1.5,1,120000,11.150343802267237
SawyerW,1Fam,7,8880,3,2.5,2,205000,23.085585585585587
OldTown,2fmCon,6,9142,4,2.0,1,137000,14.985779916867207
NAmes,1Fam,6,11310,2,1.0,2,140000,12.37842617152962
CollgCr,1Fam,7,11317,3,2.5,2,180000,15.90527524962446
Other,1Fam,3,5350,3,1.0,0,76500,14.299065420560748
Other,TwnhsE,8,4750,2,2.0,2,235000,49.473684210526315
SawyerW,1Fam,6,8366,3,2.5,2,173000,20.6789385608415
NAmes,1Fam,6,9350,3,2.0,1,158000,16.898395721925134
NAmes,1Fam,5,8400,3,1.0,1,145000,17.261904761904763
Gilbert,1Fam,7,8738,4,2.5,2,230000,26.321812771801326
Somerst,1Fam,6,8791,3,2.5,2,207500,23.603685587532706
CollgCr,1Fam,7,8814,3,2.5,2,220000,24.96029044701611
CollgCr,1Fam,7,12435,3,2.5,2,231500,18.616807398472055
OldTown,1Fam,5,12702,2,1.0,1,97000,7.6365926625728235
NAmes,1Fam,6,19296,3,1.0,2,176000,9.12106135986733
CollgCr,1Fam,8,9588,3,2.5,3,276000,28.785982478097623
Sawyer,1Fam,6,8471,3,1.0,2,151000,17.825522370440325
OldTown,1Fam,5,5500,3,1.0,2,130000,23.636363636363637
OldTown,1Fam,5,5232,2,1.0,2,73000,13.952599388379205
NWAmes,1Fam,6,12090,3,2.0,2,175500,14.516129032258064
Gilbert,1Fam,6,11207,3,2.5,2,185000,16.507539930400643
Other,1Fam,5,8400,4,2.5,1,179500,21.36904761904762
Other,1Fam,5,6900,2,1.0,1,120500,17.463768115942027
Edwards,1Fam,6,7917,3,1.5,1,148000,18.693949728432486
Somerst,1Fam,8,10728,3,2.5,3,266000,24.794929157345265
Other,1Fam,7,39104,2,1.0,2,241500,6.175838788870704
Other,1Fam,8,11764,4,2.5,3,290000,24.651479088745326
NAmes,1Fam,6,9600,3,2.0,1,139000,14.479166666666666
Other,1Fam,5,8314,2,1.0,1,124500,14.974741400048112
Other,1Fam,7,7264,3,2.5,2,205000,28.22136563876652
Other,1Fam,7,9196,3,2.0,2,201000,21.857329273597216
Gilbert,1Fam,4,19138,2,1.0,2,141000,7.367541017870206
NridgHt,1Fam,9,14450,3,2.5,3,415298,28.740346020761244
Other,1Fam,7,10005,4,2.5,2,192000,19.1904047976012
SawyerW,1Fam,7,11287,3,2.5,2,228500,20.24452910427926
Somerst,1Fam,6,7200,2,2.0,2,185000,25.694444444444443
NridgHt,Twnhs,7,5063,2,2.0,2,207500,40.98360655737705
Somerst,1Fam,8,9612,3,2.0,3,244600,25.44735746982938
SawyerW,TwnhsE,6,8012,2,2.0,2,179200,22.36645032451323
Somerst,TwnhsE,7,4251,2,2.5,2,164700,38.74382498235709
NAmes,1Fam,6,9786,3,1.5,2,159000,16.24770079705702
NAmes,1Fam,4,8125,3,1.0,0,88000,10.830769230769231
Sawyer,1Fam,5,9819,3,1.0,1,122000,12.424890518382727
Other,1Fam,6,8730,3,1.0,1,153575,17.59163802978236
CollgCr,1Fam,8,15611,3,2.5,2,233230,14.940106335276408
Other,2fmCon,5,5687,6,2.0,0,135900,23.896606295058906
Edwards,1Fam,5,11409,3,1.5,1,131000,11.482163204487685
NWAmes,1Fam,7,16659,3,2.5,2,235000,14.106488984933069
NAmes,1Fam,6,9600,3,1.0,2,167000,17.395833333333332
Other,1Fam,6,7937,3,1.0,2,142500,17.95388685901474
Other,1Fam,5,13710,4,1.5,1,152000,11.086797957695113
Somerst,1Fam,7,7399,3,2.5,2,239000,32.30166238680903
NWAmes,1Fam,6,11700,3,2.0,2,175000,14.957264957264957
Other,1Fam,6,14000,3,1.0,1,158500,11.321428571428571
Other,2fmCon,5,15750,2,1.0,1,157000,9.968253968253968
CollgCr,1Fam,8,16226,4,2.5,2,267000,16.45507210649575
CollgCr,1Fam,7,13704,3,2.0,3,205000,14.959136018680677
CollgCr,1Fam,5,9800,3,1.0,2,149900,15.295918367346939
OldTown,1Fam,7,18386,3,3.0,3,295000,16.04481670836506
SawyerW,1Fam,7,13474,4,2.5,3,225000,16.698827371233488
Other,1Fam,6,7920,3,1.0,0,89500,11.30050505050505
Edwards,1Fam,4,12342,1,1.0,2,82500,6.684491978609626
NridgHt,1Fam,9,12378,3,2.0,3,360000,29.0838584585555
Gilbert,1Fam,6,7685,3,2.5,2,165600,21.54847104749512
NAmes,1Fam,6,8000,2,1.0,1,132000,16.5
OldTown,2fmCon,5,7800,3,1.0,2,119900,15.371794871794872
Other,1Fam,7,215245,3,2.0,2,375000,1.7422007479848545
OldTown,1Fam,7,9600,3,1.5,2,178000,18.541666666666668
Gilbert,1Fam,7,7795,3,2.5,2,188500,24.18216805644644
NWAmes,1Fam,7,13005,4,2.5,2,260000,19.992310649750095
Somerst,1Fam,8,9000,3,2.5,3,270000,30.0
Other,1Fam,7,9900,4,2.5,3,260000,26.262626262626263
NWAmes,1Fam,7,14115,3,2.0,2,187500,13.28374070138151
NridgHt,1Fam,9,16259,4,3.5,3,342643,21.07405129466757
NridgHt,1Fam,8,12099,4,2.5,3,354000,29.258616414579716
OldTown,1Fam,3,5820,3,1.0,1,126175,21.67955326460481
NAmes,1Fam,7,11275,5,2.5,2,242000,21.463414634146343
Other,1Fam,5,5000,2,1.0,2,87000,17.4
Other,TwnhsE,8,10846,1,1.5,2,324000,29.87276415268302
NAmes,1Fam,6,11600,3,1.5,1,145250,12.52155172413793
Other,1Fam,6,11888,5,2.0,2,214500,18.043405114401075
Other,1Fam,5,6402,3,1.0,1,78000,12.18369259606373
NAmes,Duplex,5,10624,6,2.0,1,119000,11.20105421686747
NAmes,1Fam,5,8176,3,1.0,1,139000,17.000978473581213
NridgHt,1Fam,8,10655,3,2.0,3,284000,26.65415297982168
NridgHt,TwnhsE,7,8198,2,2.0,2,207000,25.250060990485483
Gilbert,1Fam,6,9042,3,2.5,2,192000,21.234240212342403
Other,2fmCon,5,164660,3,2.0,2,228950,1.3904409085388072
Other,1Fam,9,14157,3,2.0,3,377426,26.660026841845024
CollgCr,1Fam,7,9135,3,2.0,2,214000,23.4263820470717
NWAmes,1Fam,7,14145,3,2.0,2,202500,14.316012725344645
NAmes,1Fam,6,12400,3,1.0,1,155000,12.5
Other,1Fam,8,14191,4,2.5,2,202900,14.297794376717638
SawyerW,1Fam,4,8400,2,1.0,1,82000,9.761904761904763
NAmes,Duplex,3,8544,2,2.0,2,87500,10.241104868913858
NridgHt,TwnhsE,9,8849,2,2.0,2,266000,30.059893773307717
Other,TwnhsE,5,2592,3,1.5,1,85000,32.79320987654321
Other,1Fam,6,6435,3,1.0,1,140200,21.787101787101786
NAmes,1Fam,6,12772,2,1.0,1,151500,11.861885374256186
NAmes,1Fam,6,17600,3,2.0,2,157500,8.948863636363637
NridgHt,1Fam,9,20431,4,2.5,3,437154,21.39660320101806
NridgHt,TwnhsE,9,7820,2,2.0,2,318061,40.6727621483376
Other,1Fam,7,5271,2,1.5,2,190000,36.04629102637071
Edwards,1Fam,5,9084,3,1.0,1,95000,10.457948040510788
OldTown,1Fam,6,8520,2,1.0,2,105900,12.429577464788732
Other,1Fam,6,8400,2,1.0,1,140000,16.666666666666668
CollgCr,1Fam,6,11249,3,2.0,2,177500,15.779180371588586
